Day,Area,Price/Block,Band,Demand,Excess Demand,Provisional Price,Price Increment Applicable,Price,lat,long
1,Andhra Pradesh,292.5,800,0,-5,0,0,0,16,80
1,Assam,35,800,8,-3,35,0,28,26.2006043,92.9375739
1,Bihar,106.25,800,0,-4,0,0,0,25.11,85.32
1,Delhi,771.25,800,0,-3,0,0,0,28.38,77.12
1,Gujarat,343.75,800,0,-2,0,0,0,23,72
1,Haryana,47.5,800,4,-2,47.5,0,38,29.3,76
1,Himachal Pradesh,23.75,800,4,-3,23.75,0,19,31.79,77.1
1,Kashmir,35,800,4,-3,35,0,28,33.94,76.54
1,Karnataka,378.75,800,0,-1,0,0,0,15,75
1,Kolkata,183.75,800,0,-1,0,0,0,22.56263,88.36304
1,Madhya Pradesh,131.85,800,4,-1,124.29,0,99.432,23.3,80
1,Maharashtra,427.98,800,0,-3,427.98,0,342.384,20,76
1,Mumbai,548.75,800,4,-2,548.75,0,439,19.07283,72.88261
1,North East,13.75,800,8,-3,13.75,0,11,28,95
1,Odisha,47.5,800,4,-2,47.5,0,38,26,94.2
1,Punjab,106.25,800,0,-3,0,0,0,30.8,75.5
1,Tamil Nadu,450,800,0,-1,0,0,0,11,78
1,Uttar Pradesh E,167.5,800,0,-3,0,0,0,26,82
1,Uttar Pradesh W,118.75,800,0,-1,0,0,0,28,80
1,West Bengal,71.25,800,0,-1,0,0,0,23,87
1,Andhra Pradesh,144.31,900,50,-20,126.07,0,630.35,16,80
1,Assam,18.34,900,6,-25,17.13,0,85.65,26.2006043,92.9375739
1,Bihar,53.77,900,31,0,42.24,0.42,211.2,25.11,85.32
1,Gujarat,119.68,900,63,-7,119.68,0,598.4,23,72
1,Haryana,19.52,900,50,-12,16.91,0,84.55,29.3,76
1,Himachal Pradesh,9.47,900,92,30,8.44,0.5,42.2,31.79,77.1
1,Karnataka,90.9,900,25,-45,80.85,0,404.25,15,75
1,Kerala,42.79,900,50,-12,37.04,0,185.2,10,76.25
1,Madhya Pradesh,47.16,900,50,-12,44.04,0,220.2,23.3,80
1,Maharashtra,151.56,900,60,-10,137.53,0,687.65,20,76
1,North East,5.85,900,0,-44,5.85,0,29.25,28,95
1,Odisha,24.02,900,62,31,20.98,1.46,104.9,26,94.2
1,Punjab,66.11,900,103,25,44.64,2.23,223.2,30.8,75.5
1,Rajasthan,65.13,900,62,0,47.87,0.47,239.35,27,74
1,Uttar Pradesh E,58.65,900,50,19,58.65,2.34,293.25,26,82
1,Uttar Pradesh W,54.74,900,137,106,54.74,5.47,273.7,28,80
1,West Bengal,22.64,900,0,-22,22.42,0,112.1,23,87
1,Andhra Pradesh,39.15,1800,35,16,36.55,1.46,182.75,16,80
1,Bihar,12.4,1800,0,-10,0,0,0,25.11,85.32
1,Gujarat,47.6,1800,0,-17,0,0,0,23,72
1,Haryana,6.4,1800,27,-13,6.4,0,32,29.3,76
1,Himachal Pradesh,1.8,1800,22,-29,1.8,0,9,31.79,77.1
1,Karnataka,37,1800,8,-1,37,0,185,15,75
1,Kerala,15,1800,0,-5,0,0,0,10,76.25
1,Kolkata,14.74,1800,0,-35,14.6,0,73,22.56263,88.36304
1,North East,2.2,1800,0,-42,0,0,0,28,95
1,Odisha,4.6,1800,25,-56,4.6,0,23,26,94.2
1,Punjab,14.34,1800,0,-8,14.2,0,71,30.8,75.5
1,Rajasthan,12,1800,0,-52,0,0,0,27,74
1,Tamil Nadu,45,1800,25,-70,45,0,225,11,78
1,Uttar Pradesh E,19.4,1800,0,-21,0,0,0,26,82
1,Uttar Pradesh W,19,1800,0,-11,0,0,0,28,80
1,Andhra Pradesh,1375,2100,0,-1,0,0,0,16,80
1,Assam,164.82,2100,1,0,156.85,1.56,31.37,26.2006043,92.9375739
1,Delhi,3315,2100,0,-1,0,0,0,28.38,77.12
1,Gujarat,1302.9,2100,0,-1,1290,0,258,23,72
1,Haryana,232.3,2100,0,-1,230,0,46,29.3,76
1,Karnataka,1610,2100,0,-1,0,0,0,15,75
1,Kerala,594.45,2100,0,-1,588.57,0,117.714,10,76.25
1,Kolkata,583.74,2100,0,-1,577.97,0,115.594,22.56263,88.36304
1,Madhya Pradesh,461.31,2100,0,-1,456.75,0,91.35,23.3,80
1,Maharashtra,1520.05,2100,0,-1,1505,0,301,20,76
1,Mumbai,3245,2100,0,-1,0,0,0,19.07283,72.88261
1,North East,45.45,2100,1,0,43.26,0.43,8.652,29,95
1,Odisha,182.06,2100,1,0,180.26,1.8,36.052,26,94.2
1,Rajasthan,509.06,2100,1,0,465.92,4.65,93.184,27,74
1,Tamil Nadu,1737.2,2100,0,-1,1720,0,344,11,78
1,Uttar Pradesh E,456.01,2100,0,-1,451.5,0,90.3,26,82
1,Uttar Pradesh W,520.15,2100,0,-1,515,0,103,28,80
2,Andhra Pradesh,292.5,800,0,-5,0,0,0,16,80
2,Assam,35,800,8,-3,35,0,28,26.2006043,92.9375739
2,Bihar,106.25,800,0,-4,0,0,0,25.11,85.32
2,Delhi,771.25,800,0,-3,0,0,0,28.38,77.12
2,Gujarat,343.75,800,0,-2,0,0,0,23,72
2,Haryana,47.5,800,4,-2,47.5,0,38,29.3,76
2,Himachal Pradesh,23.75,800,4,-3,23.75,0,19,31.79,77.1
2,Kashmir,35,800,4,-3,35,0,28,33.94,76.54
2,Karnataka,378.75,800,0,-1,0,0,0,15,75
2,Kolkata,183.75,800,0,-1,0,0,0,22.56263,88.36304
2,Madhya Pradesh,131.85,800,8,3,131.85,3.95,105.48,23.3,80
2,Maharashtra,427.98,800,0,-3,423.75,0,339,20,76
2,Mumbai,548.75,800,4,-2,548.75,0,439,19.07283,72.88261
2,North East,13.75,800,8,-3,13.75,0,11,28,95
2,Odisha,47.5,800,4,-2,47.5,0,38,26,94.2
2,Punjab,106.25,800,0,-3,0,0,0,30.8,75.5
2,Tamil Nadu,450,800,0,-1,0,0,0,11,78
2,Uttar Pradesh E,167.5,800,0,-3,0,0,0,26,82
2,Uttar Pradesh W,118.75,800,0,-1,0,0,0,28,80
2,West Bengal,71.25,800,0,-1,0,0,0,23,87
2,Andhra Pradesh,144.31,900,25,-45,136.15,0,680.75,16,80
2,Assam,18.34,900,6,-25,17.99,0,89.95,26.2006043,92.9375739
2,Bihar,53.77,900,81,50,53.77,5.37,268.85,25.11,85.32
2,Gujarat,119.68,900,88,18,119.68,4.78,598.4,23,72
2,Haryana,19.52,900,75,13,19.52,0.58,97.6,29.3,76
2,Himachal Pradesh,9.47,900,61,-1,9.47,0,47.35,31.79,77.1
2,Karnataka,90.9,900,50,-20,90.9,0,454.5,15,75
2,Kerala,42.79,900,106,44,42.79,3.85,213.95,10,76.25
2,Madhya Pradesh,47.16,900,25,-37,46.7,0,233.5,23.3,80
2,Maharashtra,151.56,900,25,-45,141.65,0,708.25,20,76
2,North East,5.85,900,0,-44,5.8,0,29,28,95
2,Odisha,24.02,900,25,-6,24.02,0,120.1,26,94.2
2,Punjab,66.11,900,77,-1,66.11,0,330.55,30.8,75.5
2,Rajasthan,65.13,900,102,40,65.13,5.21,325.65,27,74
2,Uttar Pradesh E,62.82,900,62,31,62.82,4.39,314.1,26,82
2,Uttar Pradesh W,88.14,900,61,30,88.14,5.28,440.7,28,80
2,West Bengal,22.64,900,22,0,22.64,0.22,113.2,23,87
2,Andhra Pradesh,39.15,1800,16,-3,38.01,0,190.05,16,80
2,Bihar,12.4,1800,0,-10,0,0,0,25.11,85.32
2,Gujarat,47.6,1800,0,-17,0,0,0,23,72
2,Haryana,6.4,1800,27,-13,6.4,0,32,29.3,76
